"Existing
PO Number",PO Description (optional),Buyer ,Vendor Name,VENDOR_SITE_CODE,Ship to,Bill To,PO Currency,PAYMENT TERMS,Freight Terms/ Incoterms,"Carrier
Freight Payment Terms","FOB 
Destination / Origin",Note To Receiver (optional),Note to Supplier (optional),Line#,LINE_TYPE,ITEM,ITEM REVISION,"Category
(see note#1)","Line Description 
(see note# 1)",UOM,UNIT PRICE,Supplier item (optional),SHIPMENT#,open quantity,NEED BY DATE,PROMISED_DATE,RECEIPT REQUIRED? ,TAX_CODE,"Charge Account
(see note#1)",Vendor Site ID,Consigned (Yes/No),Plant Code,PR#,PR Item,Requestor,PR Text,Cost Center Code,Cost Center,Asset NO,APL Stauts,Vendor ID, Internal Order#
4600112308,,Ellen Dai,"Suzhou Tingzhou Electromechanical Co., L",,"No.12 Su Tong Road,Suzhou Industrial Park Suzhou, Jiangsu, China","No.12 Su Tong Road,Suzhou Industrial Park Suzhou, Jiangsu, China",CNY,Z090,,,,,,10,Z1 No material PO,,,200102,混床树脂再生1200Na&4200Cl,ST,945.0000,,,6.000,17-01-2025,17-01-2025,,13 %,5101100,,No,7000,0020080172,10,厂务+卞广怀,,7000231620,FACILITY,,,0008104504,FAC-201
4600112336,,Xiaodong Zhuang,"Vallen Industrial Technology(Shanghai) Co., LTD",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,S090,DEW,,Discharge to buyer's warehouse,,RFQ-20241203001,10,Z1 No material PO,,,100304,刀片，1A8 54 X0.07 X40 MM L-1-2115，NORTON,EA,632.9800,,,101.000,08-01-2025,08-01-2025,,13 %,5101100,,No,1000,0020080149,10,FSI+董美奇,,0010000139,Product Line - FSI,,,0008104965,
4600112403,,Xiaodong Zhuang,"Vallen Industrial Technology(Shanghai) Co., LTD",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,S090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,200102,"无尘擦拭纸,MAXCLEAN：609  宽：3.8cm，长23cm（按需求送货",EA,42.0000,,,50.000,11-12-2024,11-12-2024,,13 %,5101100,,No,2000,0020080212,40,明月+叶玉珍,,0020000108,moon project,,,0008104965,
4600112467,,Sharen.Li,"RS Components (ShangHai) Co., Ltd.",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,DEW,,Discharge to buyer's warehouse,,,160,Z1 No material PO,,,527,安全开关-Interlock RS 178-204,EA,860.0000,,,46.000,30-12-2024,30-12-2024,,13 %,5101100,,No,5210,0020080160,10,Hiram Liu,,0052100204,Shenzhen EQUIPMENT,,,0008100148,
4600112475,,Sharen.Li,"Zhexuan Technology(Dongguan)Co.,Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,,,,,,30,Z1 No material PO,,,527,Fan Finger Gurard 92金属网,EA,0.8000,,,100.000,24-12-2024,24-12-2024,,1 %,5101100,,No,5210,0020080035,70,Hiram Liu,,0052100204,Shenzhen EQUIPMENT,,,0008104649,
4600112696,,Xiaodong Zhuang,"Fuzhou Shunshidai Electronics Co., Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,S090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,100304,微分头型号：110-502，0-13MM,EA,1725.6600,,,12.000,30-12-2024,30-12-2024,,13 %,5101100,,No,1000,0020080270,20,WDM+任利波,,0010000114,Product Line - WDM,,,0008100032,
4600112746,,Ealon Yu,"Zhexuan Technology(Dongguan)Co.,Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,,,,,,10,Z1 No material PO,,,522,240L的大垃圾桶用垃圾袋-120×140（加厚3.5丝）-每月交货50个,EA,0.8800,,,500.000,30-12-2024,30-12-2024,,1 %,5101100,,No,5210,0020080276,10,fei.huang,,0052100202,Shenzhen WAREHOUSE,,,0008104649,
4600112758,,Haini Zhang,"Dongguan Changyue ElectromechanicalCo.,Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,200,Z1 No material PO,,,200221,QM-GZ245631A0柱面滚抛上盘模具DXC24002,EA,5523.0000,,,4.000,24-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020080440,100,柱面+潘顺,,0020000405,Cylindrical Lens,,,0008102708,
4600112758,,Haini Zhang,"Dongguan Changyue ElectromechanicalCo.,Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,210,Z1 No material PO,,,200221,QM-GZ245628A0柱面滚抛上盘模具MCC24003,EA,3120.0000,,,8.000,24-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020080440,110,柱面+潘顺,,0020000405,Cylindrical Lens,,,0008102708,
4600112837,,Ealon Yu,"Zhexuan Technology(Dongguan)Co.,Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,,,,,,10,Z1 No material PO,,,527,不锈钢十字沉头螺丝M2x 12,EA,0.0500,,,3000.000,06-01-2025,06-01-2025,,1 %,5101100,,No,5210,0020080328,10,beyond.xia,,0052100104,Shenzhen FTA,,,0008104649,
4600083462,,Haini Zhang,Suzhou  Wuzhong District  Lin Lake Xingda Hardware Machinery Fittings Factory,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,,,,,,30,Z1 No material PO,,,200216,D7.4-R55.08 CX 直桶透镜座，QM-GZ222863A,EA,17.7000,,,6.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020058822,20,球面+谢仁华,,0020000402,Spherical Products,,,0008100576,
4600095173,,Ealon Yu,"Fuzhou Photop Optics Co., Ltd.",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",USD,N030,,,,,,40,Z1 No material PO,,,522,14xxFBG P6116570,EA,39.1300,,,10.000,30-06-2024,10-06-2023,,0 %,5101100,,No,5210,0020067900,40,lina wang,,0052100211,SZ NPI,,,0000002001,RS201912001
4600096293,,Haini Zhang,Fuzhou chaoqun machinery mold co. LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,B180,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,200224,带槽蒙砂底座 RD-GZ200052-01B,EA,95.0000,,,2.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020068634,80,R&D+王寿茂,,0020009908,R&D,,,0008103073,RD-FY15-004
4600100410,,Haini Zhang,Fuzhou chaoqun machinery mold co. LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,B180,DEW,,Discharge to buyer's warehouse,,,20,Z1 No material PO,,,200217,H-20-H#机工件盘（91x58&91X41)DM-GZ230462,EA,6200.0000,,,3.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020071448,10,镀膜+公共,,0020000117,Overhead coater,,,0008103073,
4600100644,,Youshen Lian,FABRINET,,,"Unit 1402, 14th Floor, Henley Building, No. 5 Queen's Road Central, Hong Kong",USD,N090,EXW,,Ex works,,,20,Z1 No material PO,,,024,6076D0001,EA,3185.4800,,,4.000,12-12-2024,12-12-2024,,0 %,5101100,,No,5001,0020071662,10,sidda,,0050019927,G&A-NSD,,,0008200523,K2-NSDHK
4600103737,,Haini Zhang,"Fujian Yingfeite Machinery Manufacturing Co., Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,200101,磨边夹头（D3.98）PM-GZ240079A-M06,EA,230.0000,,,5.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020073762,60,明月+叶玉珍,,0020000108,moon project,,,0008102172,
4600103977,,Haini Zhang,"Fujian Yingfeite Machinery Manufacturing Co., Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,200101,"倒角机真空吸头,PM-GZ11241-M12",EA,150.0000,,,2.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020073868,410,明月+叶玉珍,,0020000108,moon project,,,0008102172,
4600105819,,Owen Zheng,Fabrinet,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",USD,N090,EXW,,THAILAND,,,10,Z1 No material PO,,,100304,G01 main Board（1460790_REV1.01）,EA,187.9100,,,102.000,07-06-2024,31-05-2024,,0 %,5101100,,No,1001,0020075260,10,NSD+林国飞185,,0010000312,R&D - NSD,,,0008200050,NSDRD00185
4600105819,,Owen Zheng,Fabrinet,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",USD,N090,EXW,,THAILAND,,,20,Z1 No material PO,,,100304,G01 Receiver Board （1460800_REV1.05）,EA,42.6500,,,100.000,07-06-2024,31-05-2024,,0 %,5101100,,No,1001,0020075260,20,NSD+林国飞185,,0010000312,R&D - NSD,,,0008200050,NSDRD00185
4600105977,,Da Wei,FABRINET,,,"Unit 1402, 14th Floor, Henley Building, No. 5 Queen's Road Central, Hong Kong",USD,N090,EXW,,Ex works,,,10,Z1 No material PO,,,024,1459185 : QSFP OTDR - DRACO,EA,556.4200,,,29.000,18-06-2024,18-06-2024,,0 %,5101100,,No,5001,0020075367,10,sidda,,0050019902,R&D-NSD,,,0008200523,NSDHK00185
4600105977,,Da Wei,FABRINET,,,"Unit 1402, 14th Floor, Henley Building, No. 5 Queen's Road Central, Hong Kong",USD,N090,EXW,,Ex works,,,20,Z1 No material PO,,,024,1459185 : QSFP OTDR - DRACO,EA,546.3900,,,23.000,18-06-2024,18-06-2024,,0 %,5101100,,No,5001,0020075367,10,sidda,,0050019902,R&D-NSD,,,0008200523,NSDHK00185
4600106683,,Haini Zhang,Fuzhou chaoqun machinery mold co. LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,B180,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,200217,W#机工件盘垫环（硬铝）修螺纹镶牙套DM-GZ170228原图号,EA,10.0000,,,9.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020075886,10,镀膜+VEECO,,0020000116,Veeco coater,,,0008103073,
4600108123,,Da Wei,FABRINET,,,"Unit 1402, 14th Floor, Henley Building, No. 5 Queen's Road Central, Hong Kong",USD,N090,EXW,,Ex works,,,10,Z1 No material PO,,,046,"FUJITSU EDFA PN 1475731, (6076H0001)",EA,1524.4300,,,20.000,14-08-2024,14-08-2024,,0 %,5101100,,No,5001,0020076987,10,Christina Sh,,0050019902,R&D-NSD,,,0008200523,HK0003-BKK
4600108742,,Haini Zhang,Fuzhou chaoqun machinery mold co. LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,B180,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,200217,1985夹具不锈钢支撑杆挖孔维修 DM-GZ210573,EA,5.0000,,,76.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020077429,10,镀膜+公共,,0020000117,Overhead coater,,,0008103073,
4600109959,,Owen Zheng,Triple-Stone Technology CO.LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,N090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,301310,"5W 保偏双极隔离器+合束器,PMIWDM9415THA05",EA,1504.4200,,,8.000,24-09-2024,24-09-2024,,13 %,5101100,,No,2000,0020078378,10,GDL+工程宇建,,0020000502,NPI engineering,,,0008103770,NO-FY20-001
4600109959,,Owen Zheng,Triple-Stone Technology CO.LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,N090,DEW,,Discharge to buyer's warehouse,,,20,Z1 No material PO,,,301310,"5W 保偏双极隔离器+合束器,PMIWDM9415THA06",EA,1504.4200,,,8.000,24-09-2024,24-09-2024,,13 %,5101100,,No,2000,0020078378,20,GDL+工程宇建,,0020000502,NPI engineering,,,0008103770,NO-FY20-001
4600109959,,Owen Zheng,Triple-Stone Technology CO.LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,N090,DEW,,Discharge to buyer's warehouse,,,40,Z1 No material PO,,,301310,"5W 保偏环形器,PMSCIR1550THA01",EA,973.4500,,,20.000,24-09-2024,24-09-2024,,13 %,5101100,,No,2000,0020078378,40,GDL+工程宇建,,0020000502,NPI engineering,,,0008103770,NO-FY20-001
4600109959,,Owen Zheng,Triple-Stone Technology CO.LTD.,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,N090,DEW,,Discharge to buyer's warehouse,,,50,Z1 No material PO,,,301310,"5W 保偏PBS,SPBS155002THA02",EA,884.9500,,,20.000,24-09-2024,24-09-2024,,13 %,5101100,,No,2000,0020078378,50,GDL+工程宇建,,0020000502,NPI engineering,,,0008103770,NO-FY20-001
4600110799,,Haini Zhang,"Fujian Jianhui New Material Tech Co., Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,200102,"文件柜,1100*450*1800mm,历史4600086238",EA,1150.0000,,,3.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020078980,70,旋转片+游林杏,,0020000128,Rotator workshop,,,0008100091,
4600110867,,Ealon Yu,"RS Components (ShangHai) Co., Ltd.",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,527,非接触式安全开关 RS 178-204,EA,900.0000,,,46.000,18-11-2024,18-11-2024,,13 %,5101100,,No,5210,0020078989,10,Hiram Liu,,0052100204,Shenzhen EQUIPMENT,,,0008100148,
4600111094,,Sharen.Li,"Zhexuan Technology(Dongguan)Co.,Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,,,,,,10,Z1 No material PO,,,522,防静电计算器-先买一个样品,EA,31.6000,,,6.000,15-11-2024,15-11-2024,,1 %,5101100,,No,5210,0020078748,10,Ping Du,,0052100102,Shenzhen 980 PUMP,,,0008104649,
4600111311,,Sharen.Li,"Zhexuan Technology(Dongguan)Co.,Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,,,,,,10,Z1 No material PO,,,522,200L 黑色闭口铁桶-危废桶-分批次交货 2个/批,EA,243.0000,,,6.000,30-11-2024,30-11-2024,,1 %,5101100,,No,5210,0020079324,20,fei.huang,,0052100202,Shenzhen WAREHOUSE,,,0008104649,
4600111407,,Ealon Yu,"RS Components (ShangHai) Co., Ltd.",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,527,摇杆  RS 440-7922,EA,483.0000,,,200.000,30-12-2024,02-12-2024,,13 %,5101100,,No,5210,0020079412,60,PUMA0008 TSX,,0052100204,Shenzhen EQUIPMENT,,,0008100148,
4600111429,,Xiuhua Jiang,Fuzhou development zone fuxin photoelectric instrument factory,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,302804,"绿光模组包装棉,GDL-24048A,FX",EA,7.7500,,,200.000,13-12-2024,22-11-2024,,13 %,5101100,,No,2000,0020079448,10,GDL工程+廖荣军,,0020000132,FPL workshop,,,0008100053,
4600111429,,Xiuhua Jiang,Fuzhou development zone fuxin photoelectric instrument factory,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,20,Z1 No material PO,,,302804,"双红光保温泡棉板,GDL-24177A0,FX",EA,9.0000,,,200.000,13-12-2024,22-11-2024,,13 %,5101100,,No,2000,0020079448,20,GDL工程+廖荣军,,0020000132,FPL workshop,,,0008100053,
4600111496,,Ealon Yu,Thorlabs INC,,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",USD,N060,,,,,,20,Z1 No material PO,,,527,"Thorlabs CG0140, FOOT - ADJ M16x68",EA,10.3800,,,7.000,28-12-2024,28-11-2024,,0 %,5101100,,No,5210,0020079307,20,Weiwei Fu,,0052100102,Shenzhen 980 PUMP,,,0008200437,
4600111530,,Ealon Yu,"Fuzhou Photop Optics Co., Ltd.",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",USD,N030,,,,,,10,Z1 No material PO,,,522,FBG P6114417,EA,175.3000,,,100.000,24-12-2024,24-12-2024,,0 %,5101100,,No,5210,0020079555,10,tianwei,,0052100211,SZ NPI,,,0000002001,RS202401-6
4600111530,,Ealon Yu,"Fuzhou Photop Optics Co., Ltd.",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",USD,N030,,,,,,20,Z1 No material PO,,,522,FBG P6114418,EA,175.3000,,,100.000,24-12-2024,24-12-2024,,0 %,5101100,,No,5210,0020079555,20,tianwei,,0052100211,SZ NPI,,,0000002001,RS202401-6
4600111550,,Ealon Yu,"Shenzhen Haitailan Technology .,Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,N045,,,,,,50,Z1 No material PO,,,999982,活动扳手 宝工（Pro'skit) HW-012,EA,92.8000,,,2.000,05-12-2024,05-12-2024,,3 %,5101100,,No,5210,0020079523,50,xingjun.lv,,0052109927,restructuring,,,0008103157,E1-PUMP
4600111667,,Haini Zhang,"Dongguan Changyue ElectromechanicalCo.,Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,20,Z1 No material PO,,,302706,光纤阵列抛光夹具分件1委外加工PM-GZ150639,EA,40.0000,,,6.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020079650,220,NPI+谢金嵩AOP-C,,0020000501,NPI workshop,,,0008102708,
4600111667,,Haini Zhang,"Dongguan Changyue ElectromechanicalCo.,Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,30,Z1 No material PO,,,302706,光纤阵列抛光夹具分件2委外加工PM-GZ150640,EA,40.0000,,,32.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020079650,230,NPI+谢金嵩AOP-C,,0020000501,NPI workshop,,,0008102708,
4600111667,,Haini Zhang,"Dongguan Changyue ElectromechanicalCo.,Ltd.",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,40,Z1 No material PO,,,302706,光纤阵列抛光夹具分件1委外加工PM-GZ190993A,EA,40.0000,,,4.000,18-12-2024,18-12-2024,,13 %,5101100,,No,2000,0020079650,240,NPI+谢金嵩AOP-C,,0020000501,NPI workshop,,,0008102708,
